668,Pyroar,Fire,86,6
721,Volcanion,Fire,80,6
654,Braixen,Fire,59,6
655,Delphox,Fire,75,6
662,Fletchinder,Fire,62,6
663,Talonflame,Fire,78,6
667,Litleo,Fire,62,6
631,Heatmor,Fire,85,5
653,Fennekin,Fire,40,6
555,DarmanitanZen Mode,Fire,105,5
554,Darumaka,Fire,70,5
514,Simisear,Fire,75,5
513,Pansear,Fire,50,5
500,Emboar,Fire,110,5
498,Tepig,Fire,65,5
499,Pignite,Fire,90,5
391,Monferno,Fire,64,4
392,Infernape,Fire,76,4
467,Magmortar,Fire,75,4
485,Heatran,Fire,91,4
390,Chimchar,Fire,44,4
324,Torkoal,Fire,70,3
323,CameruptMega Camerupt,Fire,70,3
322,Numel,Fire,60,3
257,BlazikenMega Blaziken,Fire,80,3
256,Combusken,Fire,60,3
240,Magby,Fire,45,2
244,Entei,Fire,115,2
250,Ho-oh,Fire,106,2
255,Torchic,Fire,45,3
219,Magcargo,Fire,50,2
218,Slugma,Fire,40,2
157,Typhlosion,Fire,78,2
156,Quilava,Fire,58,2
155,Cyndaquil,Fire,39,2
146,Moltres,Fire,90,1
78,Rapidash,Fire,65,1
126,Magmar,Fire,65,1
136,Flareon,Fire,65,1
37,Vulpix,Fire,38,1
38,Ninetales,Fire,73,1
58,Growlithe,Fire,55,1
59,Arcanine,Fire,90,1
77,Ponyta,Fire,50,1
6,CharizardMega Charizard Y,Fire,78,1
5,Charmeleon,Fire,58,1
4,Charmander,Fire,39,1
